OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OPTPer1000,Field2,LogDist,Field,HispDoub,BelowPovDo,AgeDoub,PovDoub,GEOID_1,Total_count,Optometry_count,Ophthalmology_count,Others_count,NAMESLAD,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured,index,TRACTCE_1,POPULATION_x,Clean_Zip,Full_Address,Optometry,Distances,BlackPerc,AsianPerc,Median_Age,HispPerc,PercVisionDisab,BelowPovertyPerc,Field1,STATEFP_1,COUNTYFP_1,TRACTCE_12,GEOID_12,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,Areas,Score,OtherScore,Area
110,17,031,301802,17031301802,3018.02,Census Tract 3018.02,G5020,S,345011.000000000000000,0.000000000000000,+41.8451846,-087.7277592,0.001777251184830,110,5.736930939930000,0,0.400000000000000,2.491520000000000,96.599999999999994,17.000000000000000,17031301802.000000000000000,10,6,2,2,Census Tract 3018.02,3376,10.840000000000000,37857,54903,14.300000000000001,34.500000000000000,73.299999999999997,2940,301802,3376,60623,3948 W 26TH ST  CHICAGO IL 60623,TRUE,310.110000000000014,1.720000000000000,0.120000000000000,30.9,0.4,2.49152,17.0,236,17,31,301802,17031301802.000000000000000,3018.019999999999982,Census Tract 3018.02,G5020,S,345011,0.000000000000000,41.845184600000003,-87.727759199999994,345010.467300000018440,112.962498499999995,24.745641549999998,345010.467300000018440
111,17,031,440101,17031440101,4401.01,Census Tract 4401.01,G5020,S,377008.000000000000000,0.000000000000000,+41.7486271,-087.6014512,0.000959002637257,111,6.552861063180000,0,0.500000000000000,2.845870000000000,1.700000000000000,36.399999999999999,17031440101.000000000000000,7,4,3,0,Census Tract 4401.01,4171,0.650000000000000,29162,31415,11.199999999999999,23.100000000000001,88.000000000000000,3094,440101,4171,60619,1133 E 83RD ST UNIT # 204 CHICAGO IL 60619,TRUE,701.250000000000000,97.120000000000005,0.050000000000000,36.6,0.5,2.84587,36.4,237,17,31,440101,17031440101.000000000000000,4401.010000000000218,Census Tract 4401.01,G5020,S,377008,0.000000000000000,41.748627100000000,-87.601451200000000,377006.291900000011083,33.357319400000002,10.788450190000001,377006.291900000011083
112,17,031,301701,17031301701,3017.01,Census Tract 3017.01,G5020,S,330773.000000000000000,0.000000000000000,+41.8424805,-087.7196254,0.001402196774950,112,5.936173617290000,0,3.700000000000000,2.578050000000000,87.599999999999994,13.900000000000000,17031301701.000000000000000,10,6,2,2,Census Tract 3017.01,4279,12.109999999999999,49026,64291,9.000000000000000,42.200000000000003,80.299999999999997,2950,301701,4279,60623,3624 W 26TH ST  CHICAGO IL 60623,TRUE,378.480000000000018,1.190000000000000,0.280000000000000,36.7,3.7,2.57805,13.9,238,17,31,301701,17031301701.000000000000000,3017.010000000000218,Census Tract 3017.01,G5020,S,330773,0.000000000000000,41.842480500000001,-87.719625399999998,330772.979400000011083,124.082634700000000,23.092008130000000,330772.979400000011083
113,17,031,839100,17031839100,8391,Census Tract 8391,G5020,S,1101771.000000000000000,84111.000000000000000,+41.8809857,-087.6330703,0.009594364828760,113,3.373532165280000,0,0.600000000000000,1.465110000000000,10.199999999999999,10.199999999999999,17031839100.000000000000000,122,79,43,0,Census Tract 8391,8234,56.359999999999999,112257,175364,79.200000000000003,5.300000000000000,95.200000000000003,3899,839100,8234,60603,112 W MONROE ST  CHICAGO IL 60603,TRUE,29.180000000000000,12.080000000000000,20.940000000000001,30.4,0.6,1.46511,10.2,247,17,31,839100,17031839100.000000000000000,8391.000000000000000,Census Tract 8391,G5020,S,1101771,84111.000000000000000,41.880985699999997,-87.633070300000000,1185882.297000000020489,361.855050800000015,68.432960350000002,1185882.297000000020489
114,17,031,833100,17031833100,8331,Census Tract 8331,G5020,S,922812.000000000000000,0.000000000000000,+41.8790778,-087.6570459,0.002738860212790,114,5.161708783080000,0,2.300000000000000,2.241700000000000,4.600000000000000,6.400000000000000,17031833100.000000000000000,31,26,5,0,Census Tract 8331,9493,64.760000000000005,135313,166680,88.299999999999997,3.400000000000000,97.200000000000003,3893,833100,9493,60607,1201 W ADAMS ST #605 CHICAGO IL 60607,TRUE,174.460000000000008,8.570000000000000,17.030000000000001,33.1,2.3,2.2417,6.4,248,17,31,833100,17031833100.000000000000000,8331.000000000000000,Census Tract 8331,G5020,S,922812,0.000000000000000,41.879077799999997,-87.657045900000000,922816.498699999996461,357.920469700000012,67.881134650000007,922816.498699999996461
115,17,031,838100,17031838100,8381,Census Tract 8381,G5020,S,820068.000000000000000,0.000000000000000,+41.8786700,-087.6716928,0.021416803953900,115,6.665725419840000,0,5.200000000000000,2.894890000000000,10.199999999999999,38.600000000000001,17031838100.000000000000000,120,39,80,1,Census Tract 8381,1821,29.930000000000000,15801,65621,37.600000000000001,25.100000000000001,90.500000000000000,3897,838100,1821,60607,15 S THROOP ST UNIT 508 CHICAGO IL 60607,TRUE,785.029999999999973,53.759999999999998,6.430000000000000,47.8,5.2,2.89489,38.6,249,17,31,838100,17031838100.000000000000000,8381.000000000000000,Census Tract 8381,G5020,S,820068,0.000000000000000,41.878670000000000,-87.671692800000002,820071.459400000050664,356.267252999999982,66.679281509999996,820071.459400000050664
116,17,031,833300,17031833300,8333,Census Tract 8333,G5020,S,477330.000000000000000,0.000000000000000,+41.8716945,-087.6541237,0.016140109890100,116,5.613607952560000,0,0.800000000000000,2.437960000000000,8.000000000000000,37.500000000000000,17031833300.000000000000000,50,47,3,0,Census Tract 8333,2912,47.939999999999998,69659,100215,83.700000000000003,3.900000000000000,96.799999999999997,3894,833300,2912,60607,1116 W TAYLOR ST  CHICAGO IL 60607,TRUE,274.129999999999995,5.670000000000000,33.140000000000001,23.9,0.8,2.43796,37.5,250,17,31,833300,17031833300.000000000000000,8333.000000000000000,Census Tract 8333,G5020,S,477330,0.000000000000000,41.871694499999997,-87.654123700000000,477334.036499999987427,348.639049300000011,66.768010079999996,477334.036499999987427
117,17,031,838200,17031838200,8382,Census Tract 8382,G5020,S,1151290.000000000000000,0.000000000000000,+41.8704149,-087.6751260,0.037014925373100,117,5.051639647030000,0,1.100000000000000,2.193900000000000,18.000000000000000,14.000000000000000,17031838200.000000000000000,143,62,80,1,Census Tract 8382,1675,30.750000000000000,94464,197042,56.799999999999997,4.100000000000000,98.099999999999994,2900,838200,1675,60612,820 S DAMEN AVE  CHICAGO IL 60612,TRUE,156.280000000000001,14.750000000000000,36.780000000000001,23.9,1.1,2.1939,14.0,251,17,31,838200,17031838200.000000000000000,8382.000000000000000,Census Tract 8382,G5020,S,1151290,0.000000000000000,41.870414900000000,-87.675126000000006,1151287.608000000007451,331.071070399999996,61.108737529999999,1151287.608000000007451
118,17,031,140702,17031140702,1407.02,Census Tract 1407.02,G5020,S,427095.000000000000000,0.000000000000000,+41.9635482,-087.7135753,0.004878048780490,118,6.454911333260000,0,3.500000000000000,2.803330000000000,62.700000000000003,16.800000000000001,17031140702.000000000000000,31,27,3,1,Census Tract 1407.02,5535,29.989999999999998,61500,94216,33.700000000000003,26.399999999999999,80.200000000000003,2689,140702,5535,60625,3057 W WILSON AVE APT 1  CHICAGO IL 60625,TRUE,635.820000000000050,4.950000000000000,7.260000000000000,33,3.5,2.80333,16.8,277,17,31,140702,17031140702.000000000000000,1407.019999999999982,Census Tract 1407.02,G5020,S,427095,0.000000000000000,41.963548199999998,-87.713575300000002,427093.271300000022165,118.112914399999994,34.865918409999999,427093.271300000022165
119,17,031,140602,17031140602,1406.02,Census Tract 1406.02,G5020,S,384380.000000000000000,0.000000000000000,+41.9646520,-087.7210166,0.005356080142830,119,5.915918456900000,0,1.600000000000000,2.569250000000000,60.100000000000001,25.600000000000001,17031140602.000000000000000,31,27,3,1,Census Tract 1406.02,5041,26.680000000000000,54679,81178,41.000000000000000,18.600000000000001,80.099999999999994,2683,140602,5041,60625,3711 W LAWRENCE AVE  CHICAGO IL 60625,TRUE,370.889999999999986,7.200000000000000,8.789999999999999,31.9,1.6,2.56925,25.6,278,17,31,140602,17031140602.000000000000000,1406.019999999999982,Census Tract 1406.02,G5020,S,384380,0.000000000000000,41.964652000000001,-87.721016599999999,384381.920900000026450,115.776079300000006,31.483273700000002,384381.920900000026450
120,17,031,140701,17031140701,1407.01,Census Tract 1407.01,G5020,S,228328.000000000000000,0.000000000000000,+41.9670375,-087.7126524,0.004310344827590,120,5.929245183710000,0,0.800000000000000,2.575040000000000,54.500000000000000,6.700000000000000,17031140701.000000000000000,16,12,3,1,Census Tract 1407.01,2784,29.309999999999999,79211,85907,30.100000000000001,25.300000000000001,70.799999999999997,2680,140701,2784,60625,4854 N CHRISTIANA AVE APT 1  CHICAGO IL 60625,TRUE,375.870000000000005,4.060000000000000,15.910000000000000,35.2,0.8,2.57504,6.7,279,17,31,140701,17031140701.000000000000000,1407.009999999999991,Census Tract 1407.01,G5020,S,228328,0.000000000000000,41.967037500000004,-87.712652399999996,228327.947400000004563,110.906974800000000,32.971748480000002,228327.947400000004563
121,17,031,160502,17031160502,1605.02,Census Tract 1605.02,G5020,S,310887.000000000000000,0.000000000000000,+41.9555841,-087.7130876,0.004545454545450,121,6.878227427550000,0,1.300000000000000,2.987180000000000,62.399999999999999,10.900000000000000,17031160502.000000000000000,15,15,0,0,Census Tract 1605.02,3300,38.450000000000003,82742,106615,40.000000000000000,15.500000000000000,91.000000000000000,2716,160502,3300,60618,3700 N MONTICELLO AVE  CHICAGO IL 60618,TRUE,970.899999999999977,4.880000000000000,9.730000000000000,33.8,1.3,2.98718,10.9,280,17,31,160502,17031160502.000000000000000,1605.019999999999982,Census Tract 1605.02,G5020,S,310887,0.000000000000000,41.955584100000003,-87.713087599999994,310885.048699999984819,135.845450400000004,34.512085319999997,310885.048699999984819
122,17,031,160602,17031160602,1606.02,Census Tract 1606.02,G5020,S,570721.000000000000000,16735.000000000000000,+41.9566814,-087.7004635,0.004309106578570,122,6.834815558170000,0,1.100000000000000,2.968320000000000,45.100000000000001,8.000000000000000,17031160602.000000000000000,15,15,0,0,Census Tract 1606.02,3481,48.490000000000002,78250,98084,50.799999999999997,9.199999999999999,93.599999999999994,2545,160602,3481,60618,2510 W IRVING PARK RD UNIT 207 CHICAGO IL 60618,TRUE,929.659999999999968,3.100000000000000,8.240000000000000,35,1.1,2.96832,8.0,281,17,31,160602,17031160602.000000000000000,1606.019999999999982,Census Tract 1606.02,G5020,S,570721,16735.000000000000000,41.956681400000001,-87.700463499999998,587459.405099999974482,118.101044500000000,32.231220960000002,587459.405099999974482
123,17,031,151002,17031151002,1510.02,Census Tract 1510.02,G5020,S,637151.000000000000000,0.000000000000000,+41.9424917,-087.7471554,0.000871839581517,123,6.771925772290000,0,1.100000000000000,2.941010000000000,72.099999999999994,6.700000000000000,17031151002.000000000000000,11,4,7,0,Census Tract 1510.02,4588,36.200000000000003,68906,86893,21.699999999999999,20.899999999999999,73.900000000000006,2705,151002,4588,60641,5146 W PATTERSON AVE # 1E  CHICAGO IL 60641,TRUE,872.990000000000009,4.450000000000000,3.250000000000000,33.7,1.1,2.94101,6.7,282,17,31,151002,17031151002.000000000000000,1510.019999999999982,Census Tract 1510.02,G5020,S,637151,0.000000000000000,41.942491699999998,-87.747155399999997,637150.742199999978766,64.824199070000006,17.236377569999998,637150.742199999978766
124,17,031,151001,17031151001,1510.01,Census Tract 1510.01,G5020,S,330135.000000000000000,0.000000000000000,+41.9423826,-087.7543527,0.001411930815390,124,6.320199023610000,0,0.200000000000000,2.744830000000000,66.200000000000003,10.100000000000000,17031151001.000000000000000,11,4,7,0,Census Tract 1510.01,2833,35.159999999999997,85670,95097,27.500000000000000,17.199999999999999,85.700000000000003,2704,151001,2833,60641,5146 W PATTERSON AVE # 1E  CHICAGO IL 60641,TRUE,555.679999999999950,3.140000000000000,3.110000000000000,36.3,0.2,2.74483,10.1,283,17,31,151001,17031151001.000000000000000,1510.009999999999991,Census Tract 1510.01,G5020,S,330135,0.000000000000000,41.942382600000002,-87.754352699999998,330132.631099999998696,53.857515270000000,15.028515929999999,330132.631099999998696
125,17,031,190402,17031190402,1904.02,Census Tract 1904.02,G5020,S,653980.000000000000000,0.000000000000000,+41.9348596,-087.7712318,0.001511144692100,125,6.430155774940000,0,1.000000000000000,2.792580000000000,67.599999999999994,12.900000000000000,17031190402.000000000000000,13,8,5,0,Census Tract 1904.02,5294,29.520000000000000,52115,66852,15.800000000000001,34.200000000000003,83.400000000000006,2712,190402,5294,60634,6023 W BELMONT AVE  CHICAGO IL 60634,TRUE,620.269999999999982,3.660000000000000,4.310000000000000,36.4,1,2.79258,12.9,284,17,31,190402,17031190402.000000000000000,1904.019999999999982,Census Tract 1904.02,G5020,S,653980,0.000000000000000,41.934859600000003,-87.771231799999995,653980.191400000010617,44.841898829999998,14.753990440000001,653980.191400000010617
126,17,031,431301,17031431301,4313.01,Census Tract 4313.01,G5020,S,404025.000000000000000,0.000000000000000,+41.7535302,-087.5601871,0.000557103064067,126,7.032549041080000,0,4.500000000000000,3.054200000000000,2.900000000000000,22.899999999999999,17031431301.000000000000000,3,2,1,0,Census Tract 4313.01,3590,1.000000000000000,34220,38950,13.300000000000001,9.400000000000000,87.500000000000000,3087,431301,3590,60649,7355 S SOUTH SHORE DR APT. 407 CHICAGO IL 60649,TRUE,1132.910000000000082,94.989999999999995,0.250000000000000,28.8,4.5,3.0542,22.9,285,17,31,431301,17031431301.000000000000000,4313.010000000000218,Census Tract 4313.01,G5020,S,404025,0.000000000000000,41.753530200000000,-87.560187099999993,404024.090299999981653,13.499107450000000,6.005810787000000,404024.090299999981653
127,17,031,431302,17031431302,4313.02,Census Tract 4313.02,G5020,S,437419.000000000000000,0.000000000000000,+41.7583855,-087.5627859,0.000459664444955,127,6.508355701740000,0,5.600000000000000,2.826540000000000,10.900000000000000,59.799999999999997,17031431302.000000000000000,3,2,1,0,Census Tract 4313.02,4351,0.800000000000000,25424,36524,20.199999999999999,9.300000000000001,94.700000000000003,3088,431302,4351,60649,7355 S SOUTH SHORE DR APT. 407 CHICAGO IL 60649,TRUE,670.720000000000027,95.129999999999995,0.210000000000000,30.1,5.6,2.82654,59.8,286,17,31,431302,17031431302.000000000000000,4313.020000000000437,Census Tract 4313.02,G5020,S,437419,0.000000000000000,41.758385500000003,-87.562785899999994,437421.280700000002980,20.663841410000000,6.646660626000000,437421.280700000002980
128,17,031,460302,17031460302,4603.02,Census Tract 4603.02,G5020,S,648832.000000000000000,0.000000000000000,+41.7470840,-087.5573879,0.000914076782450,128,7.520590854510000,0,0.400000000000000,3.266150000000000,5.800000000000000,30.800000000000001,17031460302.000000000000000,4,3,1,0,Census Tract 4603.02,3282,3.260000000000000,34740,50850,18.600000000000001,13.199999999999999,93.200000000000003,3092,460302,3282,60649,7355 S SOUTH SHORE DR APT. 407 CHICAGO IL 60649,TRUE,1845.660000000000082,85.769999999999996,0.090000000000000,34.9,0.4,3.26615,30.8,287,17,31,460302,17031460302.000000000000000,4603.020000000000437,Census Tract 4603.02,G5020,S,648832,0.000000000000000,41.747084000000001,-87.557387899999995,648834.375400000018999,12.004252680000000,6.010908132000000,648834.375400000018999
129,17,031,460301,17031460301,4603.01,Census Tract 4603.01,G5020,S,485612.000000000000000,0.000000000000000,+41.7400264,-087.5563673,0.000334784064279,129,7.896779407710000,0,1.100000000000000,3.429530000000000,30.600000000000001,33.600000000000001,17031460301.000000000000000,1,1,0,0,Census Tract 4603.01,2987,6.830000000000000,34643,47726,11.400000000000000,33.899999999999999,84.200000000000003,3124,460301,2987,60619,1401 E 87TH ST  CHICAGO IL 60619,TRUE,2688.610000000000127,65.120000000000005,0.170000000000000,27.8,1.1,3.42953,33.6,288,17,31,460301,17031460301.000000000000000,4603.010000000000218,Census Tract 4603.01,G5020,S,485612,0.000000000000000,41.740026399999998,-87.556367300000005,485612.090700000000652,13.127302200000001,6.585027774000000,485612.090700000000652
130,17,031,700501,17031700501,7005.01,Census Tract 7005.01,G5020,S,1670340.000000000000000,0.000000000000000,+41.7462133,-087.6903423,0.000144675925926,130,7.162717367900000,0,5.600000000000000,3.110730000000000,3.500000000000000,10.199999999999999,17031700501.000000000000000,1,1,0,0,Census Tract 7005.01,6912,3.960000000000000,64250,69901,23.300000000000001,12.000000000000000,95.799999999999997,3306,700501,6912,60652,2800 W 87TH ST  CHICAGO IL 60652,TRUE,1290.410000000000082,85.980000000000004,0.220000000000000,48.2,5.6,3.11073,10.2,289,17,31,700501,17031700501.000000000000000,7005.010000000000218,Census Tract 7005.01,G5020,S,1670340,0.000000000000000,41.746213300000001,-87.690342299999998,1670342.323000000091270,52.749002969999999,11.165019160000000,1670342.323000000091270
131,17,031,700502,17031700502,7005.02,Census Tract 7005.02,G5020,S,1722969.000000000000000,0.000000000000000,+41.7388522,-087.6887683,0.000335795836132,131,5.960465723440000,0,2.200000000000000,2.588600000000000,10.800000000000001,10.300000000000001,17031700502.000000000000000,1,1,0,0,Census Tract 7005.02,2978,4.770000000000000,83419,93151,31.699999999999999,5.400000000000000,87.500000000000000,3307,700502,2978,60652,2800 W 87TH ST  CHICAGO IL 60652,TRUE,387.790000000000020,86.799999999999997,0.540000000000000,39.6,2.2,2.5886,10.3,290,17,31,700502,17031700502.000000000000000,7005.020000000000437,Census Tract 7005.02,G5020,S,1722969,0.000000000000000,41.738852199999997,-87.688768300000007,1722969.202999999979511,53.720374489999998,10.975292610000000,1722969.202999999979511
132,17,031,210601,17031210601,2106.01,Census Tract 2106.01,G5020,S,273651.000000000000000,0.000000000000000,+41.9376356,-087.7122140,0.005520794994480,132,6.377950650740000,0,1.100000000000000,2.769910000000000,59.000000000000000,5.300000000000000,17031210601.000000000000000,15,15,0,0,Census Tract 2106.01,2717,39.969999999999999,85545,122427,55.100000000000001,14.800000000000001,88.700000000000003,2761,210601,2717,60618,3110 W BELMONT AVE STE 1E CHICAGO IL 60618,TRUE,588.720000000000027,3.240000000000000,6.920000000000000,37.4,1.1,2.76991,5.3,291,17,31,210601,17031210601.000000000000000,2106.010000000000218,Census Tract 2106.01,G5020,S,273651,0.000000000000000,41.937635600000000,-87.712214000000003,273652.862599999993108,196.111652800000002,46.059020779999997,273652.862599999993108
133,17,031,841100,17031841100,8411,Census Tract 8411,G5020,S,1117345.000000000000000,28895.000000000000000,+41.8516438,-087.6356612,0.022158781946700,133,5.315787855440000,0,5.500000000000000,2.308620000000000,2.400000000000000,20.600000000000001,17031841100.000000000000000,170,163,8,0,Census Tract 8411,7356,5.110000000000000,39356,66115,29.800000000000001,43.000000000000000,92.200000000000003,3904,841100,7356,60616,215 W 23RD ST  CHICAGO IL 60616,TRUE,203.520000000000010,3.970000000000000,87.640000000000001,49.8,5.5,2.30862,20.6,306,17,31,841100,17031841100.000000000000000,8411.000000000000000,Census Tract 8411,G5020,S,1117345,28895.000000000000000,41.851643799999998,-87.635661200000001,1146240.078999999910593,340.899936200000013,66.830875430000006,1146240.078999999910593
134,17,031,840200,17031840200,8402,Census Tract 8402,G5020,S,826355.000000000000000,36519.000000000000000,+41.8446476,-087.6492096,0.074489387264700,134,6.475582878310000,0,0.800000000000000,2.812310000000000,16.100000000000001,30.000000000000000,17031840200.000000000000000,193,186,8,0,Census Tract 8402,2497,18.579999999999998,42188,60333,24.500000000000000,37.000000000000000,93.000000000000000,3234,840200,2497,60616,623 W 25TH PL  CHICAGO IL 60616,TRUE,649.100000000000023,2.520000000000000,65.200000000000003,42.7,0.8,2.81231,30.0,307,17,31,840200,17031840200.000000000000000,8402.000000000000000,Census Tract 8402,G5020,S,826355,36519.000000000000000,41.844647600000002,-87.649209600000006,862870.353499999968335,281.128669000000002,53.266455329999999,862870.353499999968335
135,17,031,841300,17031841300,8413,Census Tract 8413,G5020,S,1345364.000000000000000,68765.000000000000000,+41.8439774,-087.6842025,0.005511622334050,135,6.191280725640000,0,1.800000000000000,2.688840000000000,72.000000000000000,17.000000000000000,17031841300.000000000000000,23,23,0,0,Census Tract 8413,4173,26.170000000000002,52246,81399,38.399999999999999,24.899999999999999,92.599999999999994,2932,841300,4173,60608,2036 W 22ND PL  CHICAGO IL 60608,TRUE,488.470000000000027,3.740000000000000,1.970000000000000,33.8,1.8,2.68884,17.0,309,17,31,841300,17031841300.000000000000000,8413.000000000000000,Census Tract 8413,G5020,S,1345364,68765.000000000000000,41.843977400000000,-87.684202499999998,1414129.729000000050291,212.499219600000004,39.241668359999998,1414129.729000000050291
136,17,031,840700,17031840700,8407,Census Tract 8407,G5020,S,541526.000000000000000,0.000000000000000,+41.8529302,-087.6942666,0.007435897435900,136,7.252242348700000,0,4.400000000000000,3.149610000000000,78.299999999999997,17.300000000000001,17031840700.000000000000000,33,29,2,2,Census Tract 8407,3900,18.309999999999999,76629,92880,32.000000000000000,38.000000000000000,88.200000000000003,2930,840700,3900,60608,2036 W 22ND PL  CHICAGO IL 60608,TRUE,1411.269999999999982,4.080000000000000,1.280000000000000,32.8,4.4,3.14961,17.3,310,17,31,840700,17031840700.000000000000000,8407.000000000000000,Census Tract 8407,G5020,S,541526,0.000000000000000,41.852930200000003,-87.694266600000006,541528.570100000011735,192.565271499999994,33.241338460000001,541528.570100000011735
137,17,031,841700,17031841700,8417,Census Tract 8417,G5020,S,266794.000000000000000,0.000000000000000,+41.8531302,-087.7041819,0.003976143141150,137,7.248434370790000,0,6.500000000000000,3.147960000000000,42.500000000000000,38.000000000000000,17031841700.000000000000000,10,6,2,2,Census Tract 8417,1509,16.570000000000000,17266,36451,15.199999999999999,36.700000000000003,82.099999999999994,2952,841700,1509,60623,3624 W 26TH ST  CHICAGO IL 60623,TRUE,1405.900000000000091,43.609999999999999,0.200000000000000,40.6,6.5,3.14796,38.0,311,17,31,841700,17031841700.000000000000000,8417.000000000000000,Census Tract 8417,G5020,S,266794,0.000000000000000,41.853130200000003,-87.704181899999995,266795.553699999989476,168.120070099999992,30.056714140000000,266795.553699999989476
138,17,031,190602,17031190602,1906.02,Census Tract 1906.02,G5020,S,621354.000000000000000,0.000000000000000,+41.9275604,-087.7707371,0.000371885459279,138,7.144606688440000,0,2.300000000000000,3.102860000000000,76.000000000000000,12.900000000000000,17031190602.000000000000000,3,2,1,0,Census Tract 1906.02,5378,21.440000000000001,56689,67886,20.000000000000000,22.100000000000001,86.200000000000003,2747,190602,5378,60639,5159 W FULLERTON AVE  CHICAGO IL 60639,TRUE,1267.250000000000000,3.290000000000000,1.750000000000000,36.5,2.3,3.10286,12.9,328,17,31,190602,17031190602.000000000000000,1906.019999999999982,Census Tract 1906.02,G5020,S,621354,0.000000000000000,41.927560399999997,-87.770737100000005,621353.181199999991804,45.069111430000000,12.226862060000000,621353.181199999991804
139,17,031,190401,17031190401,1904.01,Census Tract 1904.01,G5020,S,655475.000000000000000,0.000000000000000,+41.9347276,-087.7809524,0.001849710982660,139,6.288441825720000,0,0.800000000000000,2.731040000000000,64.200000000000003,13.699999999999999,17031190401.000000000000000,13,8,5,0,Census Tract 1904.01,4325,30.940000000000001,77063,99608,22.000000000000000,14.500000000000000,86.799999999999997,2711,190401,4325,60634,6023 W BELMONT AVE  CHICAGO IL 60634,TRUE,538.309999999999945,3.190000000000000,5.900000000000000,36.4,0.8,2.73104,13.7,329,17,31,190401,17031190401.000000000000000,1904.009999999999991,Census Tract 1904.01,G5020,S,655475,0.000000000000000,41.934727600000002,-87.780952400000004,655473.292200000025332,47.068783130000000,16.383988769999998,655473.292200000025332
140,17,031,190702,17031190702,1907.02,Census Tract 1907.02,G5020,S,383493.000000000000000,0.000000000000000,+41.9261631,-087.7610395,0.000403877221325,140,6.175955500720000,0,1.000000000000000,2.682180000000000,86.500000000000000,26.199999999999999,17031190702.000000000000000,3,2,1,0,Census Tract 1907.02,4952,15.550000000000001,49125,71560,10.199999999999999,46.399999999999999,78.799999999999997,2749,190702,4952,60639,5159 W FULLERTON AVE  CHICAGO IL 60639,TRUE,481.040000000000020,4.280000000000000,1.090000000000000,35.2,1,2.68218,26.2,330,17,31,190702,17031190702.000000000000000,1907.019999999999982,Census Tract 1907.02,G5020,S,383493,0.000000000000000,41.926163099999997,-87.761039499999995,383492.088600000017323,41.779511419999999,10.352945950000001,383492.088600000017323
141,17,031,191302,17031191302,1913.02,Census Tract 1913.02,G5020,S,631185.000000000000000,0.000000000000000,+41.9202289,-087.7705334,0.000404858299595,141,7.078814955690000,0,3.900000000000000,3.074290000000000,92.299999999999997,5.900000000000000,17031191302.000000000000000,3,2,1,0,Census Tract 1913.02,4940,18.320000000000000,67572,84505,9.400000000000000,37.299999999999997,82.200000000000003,2755,191302,4940,60639,5159 W FULLERTON AVE  CHICAGO IL 60639,TRUE,1186.559999999999945,4.960000000000000,1.280000000000000,33.4,3.9,3.07429,5.9,331,17,31,191302,17031191302.000000000000000,1913.019999999999982,Census Tract 1913.02,G5020,S,631185,0.000000000000000,41.920228899999998,-87.770533400000005,631190.133200000040233,48.145795749999998,11.681223930000000,631190.133200000040233
142,17,031,190601,17031190601,1906.01,Census Tract 1906.01,G5020,S,690034.000000000000000,0.000000000000000,+41.9274146,-087.7804606,0.000456412596988,142,7.071601942750000,0,2.300000000000000,3.071160000000000,88.900000000000006,9.400000000000000,17031190601.000000000000000,3,2,1,0,Census Tract 1906.01,4382,20.329999999999998,63589,84529,14.500000000000000,35.899999999999999,83.200000000000003,2713,190601,4382,60634,6023 W BELMONT AVE  CHICAGO IL 60634,TRUE,1178.029999999999973,3.450000000000000,1.690000000000000,35.6,2.3,3.07116,9.4,332,17,31,190601,17031190601.000000000000000,1906.009999999999991,Census Tract 1906.01,G5020,S,690034,0.000000000000000,41.927414599999999,-87.780460599999998,690031.215199999976903,46.815975320000000,13.309601570000000,690031.215199999976903
143,17,031,191301,17031191301,1913.01,Census Tract 1913.01,G5020,S,674995.000000000000000,0.000000000000000,+41.9201522,-087.7802655,0.000383582662064,143,7.558068799230000,0,3.700000000000000,3.282430000000000,85.200000000000003,8.600000000000000,17031191301.000000000000000,3,2,1,0,Census Tract 1913.01,5214,15.320000000000000,57981,75237,7.000000000000000,35.600000000000001,84.299999999999997,2754,191301,5214,60639,5159 W FULLERTON AVE  CHICAGO IL 60639,TRUE,1916.140000000000100,7.060000000000000,2.340000000000000,35.6,3.7,3.28243,8.6,333,17,31,191301,17031191301.000000000000000,1913.009999999999991,Census Tract 1913.01,G5020,S,674995,0.000000000000000,41.920152199999997,-87.780265499999999,674993.116000000038184,46.938257610000001,11.217533850000001,674993.116000000038184
144,17,031,200402,17031200402,2004.02,Census Tract 2004.02,G5020,S,386205.000000000000000,0.000000000000000,+41.9196348,-087.7296789,0.004532442748090,144,7.340716434840000,0,3.400000000000000,3.188030000000000,81.200000000000003,16.699999999999999,17031200402.000000000000000,22,19,3,0,Census Tract 2004.02,4192,20.750000000000000,68872,79277,27.600000000000001,35.700000000000003,86.299999999999997,2746,200402,4192,60639,4418 W DIVERSEY AVE  CHICAGO IL 60639,TRUE,1541.819999999999936,3.460000000000000,1.240000000000000,31.9,3.4,3.18803,16.7,334,17,31,200402,17031200402.000000000000000,2004.019999999999982,Census Tract 2004.02,G5020,S,386205,0.000000000000000,41.919634799999997,-87.729678899999996,386204.392200000002049,52.325417659999999,12.608588160000000,386204.392200000002049
